Australia - Points: 16 +/-: 19/11, Wins: 5, Losses: 2, Draws: 1
Indonesia - Points: 16 +/-: 15/10, Wins: 5, Losses: 2, Draws: 1
ThaiLand - Points: 14 +/-: 13/8, Wins: 4, Losses: 2, Draws: 2
VietNam - Points: 14 +/-: 15/13, Wins: 4, Losses: 2, Draws: 2
Myanmar - Points: 7 +/-: 3/10, Wins: 2, Losses: 5, Draws: 1
Philipin - Points: 6 +/-: 3/10, Wins: 1, Losses: 4, Draws: 3
Campuchia - Points: 3 +/-: 1/10, Wins: 0, Losses: 5, Draws: 3
Singapore - Points: 2 +/-: 2/11, Wins: 0, Losses: 6, Draws: 2
VietNam - Points: 16 +/-: 13/6, Wins: 5, Losses: 2, Draws: 1
Indonesia - Points: 16 +/-: 11/6, Wins: 5, Losses: 2, Draws: 1
Australia - Points: 14 +/-: 14/11, Wins: 4, Losses: 2, Draws: 2
Malaisia - Points: 14 +/-: 8/5, Wins: 3, Losses: 0, Draws: 5
Singapore - Points: 10 +/-: 5/6, Wins: 2, Losses: 2, Draws: 4
Myanmar - Points: 10 +/-: 4/5, Wins: 2, Losses: 2, Draws: 4
ThaiLand - Points: 9 +/-: 6/7, Wins: 2, Losses: 3, Draws: 3
Philipin - Points: 4 +/-: 0/5, Wins: 0, Losses: 4, Draws: 4
Campuchia - Points: 2 +/-: 0/10, Wins: 0, Losses: 6, Draws: 2
Australia - Points: 22 +/-: 14/6, Wins: 7, Losses: 0, Draws: 1
Indonesia - Points: 18 +/-: 12/7, Wins: 5, Losses: 0, Draws: 3
VietNam - Points: 17 +/-: 18/10, Wins: 5, Losses: 1, Draws: 2
Malaisia - Points: 13 +/-: 12/9, Wins: 3, Losses: 1, Draws: 4
ThaiLand - Points: 9 +/-: 8/9, Wins: 2, Losses: 3, Draws: 3
Singapore - Points: 8 +/-: 6/8, Wins: 2, Losses: 4, Draws: 2
Philipin - Points: 5 +/-: 2/9, Wins: 1, Losses: 5, Draws: 2
Myanmar - Points: 3 +/-: 2/7, Wins: 0, Losses: 5, Draws: 3
Campuchia - Points: 2 +/-: 0/9, Wins: 0, Losses: 6, Draws: 2
VietNam - Points: 20 +/-: 16/7, Wins: 6, Losses: 0, Draws: 2
Australia - Points: 18 +/-: 17/8, Wins: 6, Losses: 2, Draws: 0
Indonesia - Points: 16 +/-: 14/5, Wins: 5, Losses: 2, Draws: 1
Malaisia - Points: 12 +/-: 9/8, Wins: 3, Losses: 2, Draws: 3
ThaiLand - Points: 10 +/-: 7/10, Wins: 3, Losses: 4, Draws: 1
Singapore - Points: 8 +/-: 7/12, Wins: 2, Losses: 4, Draws: 2
Myanmar - Points: 7 +/-: 5/10, Wins: 2, Losses: 5, Draws: 1
Campuchia - Points: 6 +/-: 1/6, Wins: 1, Losses: 4, Draws: 3
Philipin - Points: 3 +/-: 3/13, Wins: 0, Losses: 5, Draws: 3
Indonesia - Points: 16 +/-: 9/7, Wins: 5, Losses: 2, Draws: 1
Australia - Points: 15 +/-: 15/8, Wins: 4, Losses: 1, Draws: 3
Malaisia - Points: 14 +/-: 11/8, Wins: 4, Losses: 2, Draws: 2
ThaiLand - Points: 13 +/-: 10/8, Wins: 4, Losses: 3, Draws: 1
VietNam - Points: 9 +/-: 13/12, Wins: 1, Losses: 1, Draws: 6
Myanmar - Points: 9 +/-: 4/7, Wins: 2, Losses: 3, Draws: 3
Singapore - Points: 7 +/-: 5/7, Wins: 1, Losses: 3, Draws: 4
Philipin - Points: 7 +/-: 4/6, Wins: 1, Losses: 3, Draws: 4
Campuchia - Points: 4 +/-: 0/8, Wins: 0, Losses: 4, Draws: 4
The season start: 
VietNam - Points: 22 +/-: 19/6, Wins: 7, Losses: 0, Draws: 1The season terminated 

The season start: 
Malaisia - Points: 19 +/-: 12/7, Wins: 6, Losses: 1, Draws: 1The season terminated 

The season start: 
Australia - Points: 17 +/-: 16/9, Wins: 5, Losses: 1, Draws: 2The season terminated 

The season start: 
Indonesia - Points: 15 +/-: 9/5, Wins: 4, Losses: 1, Draws: 3The season terminated 

The season start: 
ThaiLand - Points: 10 +/-: 9/10, Wins: 3, Losses: 4, Draws: 1The season terminated 

The season start: 
Myanmar - Points: 6 +/-: 4/8, Wins: 1, Losses: 4, Draws: 3The season terminated 

The season start: 
Campuchia - Points: 5 +/-: 2/10, Wins: 1, Losses: 5, Draws: 2The season terminated 

The season start: 
Singapore - Points: 4 +/-: 1/6, Wins: 0, Losses: 4, Draws: 4The season terminated 

The season start: 
Philipin - Points: 1 +/-: 0/11, Wins: 0, Losses: 7, Draws: 1The season terminated 

The season start: 

VietNam - Points: 21 +/-: 21/9, Wins: 7, Losses: 1, Draws: 0The season terminated 

Australia - Points: 21 +/-: 19/8, Wins: 7, Losses: 1, Draws: 0The season terminated 

Malaisia - Points: 17 +/-: 12/7, Wins: 5, Losses: 1, Draws: 2The season terminated 

Philipin - Points: 11 +/-: 8/10, Wins: 3, Losses: 3, Draws: 2The season terminated 

Myanmar - Points: 11 +/-: 5/9, Wins: 3, Losses: 3, Draws: 2The season terminated 

Indonesia - Points: 10 +/-: 9/9, Wins: 3, Losses: 4, Draws: 1The season terminated 

Campuchia - Points: 5 +/-: 2/6, Wins: 0, Losses: 3, Draws: 5The season terminated 

ThaiLand - Points: 2 +/-: 4/13, Wins: 0, Losses: 6, Draws: 2The season terminated 

Singapore - Points: 2 +/-: 1/10, Wins: 0, Losses: 6, Draws: 2The season terminated 

The season terminated: 

The season start: 
